"Protein Accession"	"DNA Accession"	"AMR Gene Family"	"Drug Class"	"Resistance Mechanism"
"AAT45742.1"	"AY628199"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAR89358.1"	"AY368236"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAR89359.1"	"AY368237"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAG34105.1"	"AJ746225"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAI29263.1"	"AJ866988"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAR10958.1"	"AY436361"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAR84298.1"	"AY491682"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAS19171.1"	"AY528425"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAS79107.1"	"AY574271"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAG25427.1"	"AJ634602.1"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAV83795.1"	"AY826417"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAL08007.1"	"AM286274"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAW47922.1"	"AY853593"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAZ23494.1"	"DQ072853"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAX56615.1"	"AY956335"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"ABD60314.1"	"DQ388882"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAY85632.1"	"DQ075245"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAJ17558.1"	"AM049399"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAZ14083.2"	"DQ105528"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAZ14084.2"	"DQ105529"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"ABB84515.1"	"DQ279850"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAJ32372.1"	"AM087454"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"ABC96711.1"	"DQ369751"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAO98721.1"	"AM849805"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAJ66089.1"	"AM183304"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"ABI74448.1"	"DQ834729"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"ABI74447.1"	"DQ834728"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AGA83484.1"	"KC149518"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"ACO07310.1"	"FJ807656"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"ABG77582.1"	"DQ679961"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAQ00120.1"	"AM941159"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"ABI81768.1"	"DQ909059"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"ABQ00181.1"	"EF534736"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"ABM54869.1"	"EF136376"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAA46346.1"	"X65254"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"ABM54870.1"	"EF136377"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"ABO64442.1"	"EF468463"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"ACF32746.1"	"EU815939"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"ABX71157.1"	"EU274580"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"ACI25375.1"	"FJ197316"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"ACJ04051.1"	"FJ360884"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"ACR22829.1"	"FJ919776"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"ACP18864.1"	"FJ873740"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAA74912.2"	"Y14574"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"ADA79630.1"	"GQ149347"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"ADB90239.1"	"GU550123"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CBJ06718.1"	"FN652295"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAA65888.1"	"X97254"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"WP_000027060.1"	"NG_050218.1"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"ADP20705.1"	"HQ317449"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"ADR71220.1"	"HQ529916"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CCA61905.1"	"FR848831"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AEG64812.1"	"JF795538"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AET99222.1"	"JN227084"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"ADM61585.1"	"HM246246"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AEL17198.1"	"JN211012"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AEL79515.1"	"JN254627"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AFN21551.1"	"JX042489"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AEL88240.1"	"JN416112"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"APY23677.1"	"KY432484.1"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AEQ59620.1"	"JF949915"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AFC75523.1"	"JN935135"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AFC75524.1"	"JN935136"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AFC75525.1"	"JN935137"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AFE48832.1"	"JQ034306"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AEK48085.1"	"HQ877606"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"BAL68178.1"	"AB700703"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AFN69127.1"	"JX050178"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAA38429.1"	"X54606"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAA76793.1"	"Y17581"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AFS44742.1"	"JX310327"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AGZ20205.1"	"KC900516"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AGK82336.1"	"KC783461"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AGK40892.1"	"KC818234"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AGL39384.1"	"KC865667"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AGW25367.1"	"KF240808"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAA76794.1"	"Y17582"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AHA80960.1"	"KF513179"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AHA58207.1"	"KF663615"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AJO16044.1"	"KP050491"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AJO16045.1"	"KP050492"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AHJ78622.1"	"KF944358"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CDN33426.1"	"HG934763"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AIS39742.1"	"KM114268"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAA76795.1"	"Y17583"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AIW68620.1"	"KM998962.1"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAA46345.1"	"X65253"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"WP_047028173.1"	"NG_050256.1"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAC32891.1"	"U37195"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAA76796.1"	"Y17584"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAA45828.1"	"X64523.1"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAD24670.1"	"AJ437107"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"ADL13944.1"	"GU371926"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AGE11905.1"	"KC292503"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CDR98216.1"	"LK391770.1"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CBX53726.1"	"FR717535"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAA66659.1"	"X98047"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAC32889.2"	"U95363"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAA64682.1"	"X95401"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAA71322.1"	"Y10279"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAA71323.1"	"Y10280"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAA71324.1"	"Y10281"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAA73933.1"	"Y13612"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAD22538.1"	"AF104441"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAD22539.1"	"AF104442"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"ABB97007.1"	"DQ286729"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"ACJ43254.1"	"FJ405211"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAD45935.1"	"AF062386"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAA41038.1"	"X57972"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAC05975.1"	"AF047171"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAK17194.1"	"AF332513"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAD33116.2"	"AF091113"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAB92324.1"	"AJ239002"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAO33760.1"	"AF527798.1"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAF01046.1"	"AF188199"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAL03985.1"	"AF203816"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAF19151.1"	"AF157553"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAB65358.1"	"AJ012256"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAN05028.1"	"AY130284"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAF05613.1"	"AF190694"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAF05612.1"	"AF190693"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAF05611.1"	"AF190692"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAA46344.1"	"X65252"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAM15527.1"	"AF347054"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAL29433.1"	"AF427127"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAL29434.1"	"AF427128"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAL29435.1"	"AF427129"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAL29436.1"	"AF427130"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAC43229.1"	"AJ277414"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAC43230.1"	"AJ277415"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAG44570.1"	"AF250872"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAK14792.1"	"AY027590"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAK71474.1"	"AY039040"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAK30619.1"	"AF351241"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"BAB16308.1"	"AB049569"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAF66653.1"	"AF143804"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAC85660.1"	"AJ318093"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAC85661.1"	"AJ318094"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"CAC67290.1"	"AJ308558"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAM22276.1"	"AY092401"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAD09860.1"	"AF090987"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"CAC80727.1"	"AJ250203"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"ACH87088.1"	"EU722333.1"	"tetracycline-resistant ribosomal protection protein"	"tetracycline antibiotic"	"antibiotic target protection"
"CAD12227.2"	"AJ420072.1"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"BAB59035.1"	"AB061440"	"tetracycline inactivation enzyme"	"tetracycline antibiotic"	"antibiotic inactivation;antibiotic target alteration"
"AAK37619.1"	"AF353562.1"	"ATP-binding cassette (ABC) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"CAD55718.1"	"AJ514254"	"tetracycline-resistant ribosomal protection protein"	"tetracycline antibiotic"	"antibiotic target protection"
"AAN28721.1"	"AF540889"	"tetracycline inactivation enzyme"	"tetracycline antibiotic"	"antibiotic inactivation"
"AAV80464.1"	"AY825285"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"AAW66497.1"	"AY743590"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"CAM12479.1"	"AM419751"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"AAP93922.1"	"AY264780.2"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"ACD35503.1"	"EU523697"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"ACS83748.1"	"GQ244501.1"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"CBH51823.1"	"FN594949"	"tetracycline-resistant ribosomal protection protein"	"tetracycline antibiotic"	"antibiotic target protection"
"AEM62948.1"	"JF837330.1"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"AKQ05891.1"	"KR857681.1"	"tetracycline inactivation enzyme"	"tetracycline antibiotic"	"antibiotic inactivation"
"AKQ05892.1"	"KR857682.1"	"tetracycline inactivation enzyme"	"tetracycline antibiotic"	"antibiotic inactivation"
"AKQ05893.1"	"KR857683.1"	"tetracycline inactivation enzyme"	"tetracycline antibiotic"	"antibiotic inactivation"
"AKQ05894.1"	"KR857684.1"	"tetracycline inactivation enzyme"	"tetracycline antibiotic"	"antibiotic inactivation"
"AKQ05895.1"	"KR857685.1"	"tetracycline inactivation enzyme"	"tetracycline antibiotic"	"antibiotic inactivation"
"AKQ05896.1"	"KR857686.1"	"tetracycline inactivation enzyme"	"tetracycline antibiotic"	"antibiotic inactivation"
"AKQ05897.1"	"KR857687.1"	"tetracycline inactivation enzyme"	"tetracycline antibiotic"	"antibiotic inactivation"
"AKQ05898.1"	"KR857688.1"	"tetracycline inactivation enzyme"	"tetracycline antibiotic"	"antibiotic inactivation"
"AKQ05899.1"	"KR857689.1"	"tetracycline inactivation enzyme"	"tetracycline antibiotic"	"antibiotic inactivation"
"ARB93503.1"	"CP020412.2"	"tetracycline inactivation enzyme"	"tetracycline antibiotic"	"antibiotic inactivation"
"AJO67548.1"	"KP137702.1"	"tetracycline-resistant ribosomal protection protein"	"tetracycline antibiotic"	"antibiotic target protection"
"AMP42492.1"	"KU736879.1"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"AAN06707.1"	"AF534183.1"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"AET10444.1"	"HQ652506.1"	"ATP-binding cassette (ABC) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"APB03214.1"	"KX531044.1"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"ANZ79240.1"	"KX000272.1"	"ATP-binding cassette (ABC) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"AAA20116.1"	"L20800"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"BAC67143.1"	"AB089595"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"AET10445.1"	"HQ652506.1"	"ATP-binding cassette (ABC) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"APB03215.1"	"KX531045.1"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"ANZ79241.1"	"KX000273.1"	"ATP-binding cassette (ABC) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"AAA20117.1"	"L20800"	"tetracycline-resistant ribosomal protection protein"	"tetracycline antibiotic"	"antibiotic target protection"
"AAK97755.1"	"AY043299.1"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
